GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
challenge,com.mercadolibre.challenge.validation,SquareArrayValidator,0,28,0,6,0,4,0,6,0,3
challenge,com.mercadolibre.challenge.domain,PersonType,0,32,0,2,0,4,0,3,0,2
challenge,com.mercadolibre.challenge.domain,Person,29,106,12,10,6,8,13,8,3,7
challenge,com.mercadolibre.challenge.handler,RestResponseEntityExceptionHandler,0,44,0,0,0,11,0,5,0,5
challenge,com.mercadolibre.challenge,ChallengeApplication,5,3,0,0,2,1,1,1,1,1
challenge,com.mercadolibre.challenge.algorithm.impl,MutantFinderImpl,0,46,0,2,0,12,0,4,0,3
challenge,com.mercadolibre.challenge.algorithm.impl.checkers,AbstractDiagonalChecker,0,99,0,10,0,17,0,10,0,5
challenge,com.mercadolibre.challenge.algorithm.impl.checkers,PositiveDiagonalChecker,0,26,0,0,0,3,0,3,0,3
challenge,com.mercadolibre.challenge.algorithm.impl.checkers,AbstractLineChecker,0,86,0,14,0,19,0,13,0,6
challenge,com.mercadolibre.challenge.algorithm.impl.checkers,NegativeDiagonalChecker,0,22,0,0,0,3,0,3,0,3
challenge,com.mercadolibre.challenge.algorithm.impl.checkers,HorizontalChecker,0,7,0,0,0,2,0,2,0,2
challenge,com.mercadolibre.challenge.algorithm.impl.checkers,VerticalChecker,0,56,0,4,0,11,0,5,0,3
challenge,com.mercadolibre.challenge.service.impl,MutantServiceImpl,0,95,0,2,0,18,0,8,0,7
challenge,com.mercadolibre.challenge.config,SpringFoxConfig,0,36,0,0,0,8,0,3,0,3
challenge,com.mercadolibre.challenge.utils,GlobalUtils,0,21,0,6,0,3,0,6,0,3
challenge,com.mercadolibre.challenge.dto,StatsDto,0,58,0,0,0,17,0,9,0,9
challenge,com.mercadolibre.challenge.dto,MutantDto,0,34,0,0,0,10,0,5,0,5
challenge,com.mercadolibre.challenge.controller,MutantController,0,46,0,2,0,12,0,5,0,4
